Наименование факультета,Код направления,Наименование направления подготовки,Наименование образовательной программы,Форма обучения,Полная стоимость обучения,1 курс,2 курс,3 курс,4 курс,5 курс
Программы специалитета (очная форма обучения)
Юридический факультет,40.05.01,Правовое обеспечение национальной безопасности,Правовое обеспечение национальной безопасности,очная,2040000,390000,390000,420000,420000,420000
Факультет налогов, аудита и бизнес-анализа,38.05.02,Таможенное дело,"Внешняя торговля, таможенное и валютное регулирование (с углубленным изучением иностранных языков)",очная,2040000,390000,390000,420000,420000,420000
Программы бакалавриата (очная форма обучения)
Факультет ""Высшая школа управления"",27.03.05,Инноватика,Управление цифровыми инновациями,очная,1640000,390000,390000,430000,430000,Х
Факультет ""Высшая школа управления"",38.03.02,Менеджмент,Финансовый менеджмент,очная,2200000,520000,520000,580000,580000,Х
Факультет ""Высшая школа управления"",38.03.02,Менеджмент,Маркетинг,очная,2300000,540000,540000,610000,610000,Х
Факультет ""Высшая школа управления"",38.03.02,Менеджмент,Управление бизнесом,очная,2420000,580000,580000,630000,630000,Х
Факультет ""Высшая школа управления"",38.03.02,Менеджмент,Управление бизнесом / Bachelor of Business Administration (BBA),очная,2460000,590000,590000,640000,640000,Х
Факультет ""Высшая школа управления"",38.03.04,Государственное и муниципальное управление,Государственное и муниципальное управление,очная,2140000,520000,520000,550000,550000,Х
Факультет ""Высшая школа управления"",38.03.04,Государственное и муниципальное управление,Цифровое государство и экономика,очная,2100000,510000,510000,540000,540000,Х
Факультет экономики и бизнеса,38.03.01,Экономика,Экономика корпорации, ESG и корпоративное право,очная,1960000,470000,470000,510000,510000,Х
Факультет экономики и бизнеса,38.03.01,Экономика,Экономика и бизнес,очная,2200000,530000,530000,570000,570000,Х
Факультет экономики и бизнеса,38.03.01,Экономика,Корпоративные финансы,очная,2240000,550000,550000,570000,570000,Х
Факультет экономики и бизнеса,38.03.01,Экономика,Финансовая разведка, управление рисками бизнеса,очная,2240000,550000,550000,570000,570000,Х
Факультет экономики и бизнеса,38.03.02,Менеджмент,Логистика,очная,2026000,493000,493000,520000,520000,Х
Факультет экономики и бизнеса,43.03.02,Туризм,Туристический бизнес и экономика впечатлений,очная,1460000,350000,350000,380000,380000,Х
Факультет экономики и бизнеса,43.03.03,Гостиничное дело,Гостиничный бизнес,очная,1500000,360000,360000,390000,390000,Х
Финансовый факультет,38.03.02,Экономика,Экономика и финансы,очная,2300000,550000,550000,600000,600000,Х
Финансовый факультет,38.03.01,Экономика,Государственный финансовый контроль и цифровое казначейство,очная,2240000,530000,530000,590000,590000,Х
Финансовый факультет,38.03.00,Экономика,Финансовые инструменты и цифровые технологии анализа,очная,2260000,540000,540000,590000,590000,Х
Финансовый факультет,38.03.01,Экономика,Цифровизация финансовых продуктов и услуг сетевая,очная,3000000,750000,762500,762500,725000,Х
Факультет международных экономических отношений,38.03.01,Экономика,Международные финансы / International Finance,очная,2480000,590000,590000,650000,650000,Х
Факультет международных экономических отношений,38.03.01,Экономика,"Мировая экономика, мировые финансы и международный бизнес (с частичной реализацией на англ. языке)",очная,2660000,640000,640000,690000,690000,Х
Факультет международных экономических отношений,38.03.01,Экономика,Экономика и бизнес стран Востока,очная,2660000,640000,640000,690000,690000,Х
Факультет международных экономических отношений,38.03.01,Экономика,"Международная экономика и торговля (с углубленным изучением экономики Китая и китайского языка)",очная,2860000,690000,690000,740000,740000,Х
Факультет международных экономических отношений,38.03.01,Экономика,Международные экономические отношения,очная,2660000,640000,640000,690000,690000,Х
Факультет международных экономических отношений,45.03.02,Лингвистика,"Экономическая лингвистика и межкультурная коммуникация (с частичной реализацией на английском языке)",очная,1980000,460000,460000,530000,530000,Х
Юридический факультет,40.03.01,Юриспруденция,Юриспруденция,очная,2050000,495000,495000,530000,530000,Х
Факультет информационных технологий и анализа больших данных,01.03.02,Прикладная математика и информатика,Прикладное машинное обучение,очная,1600000,390000,390000,410000,410000,Х
Факультет информационных технологий и анализа больших данных,02.03.01,Математика и компьютерные науки,Цифровая аналитика и математическая оценка рисков,очная,1440000,350000,350000,370000,370000,Х
Факультет информационных технологий и анализа больших данных,09.03.03,Прикладная информатика,Прикладные информационные системы в экономике и финансах,очная,1470000,365000,365000,370000,370000,Х
Факультет информационных технологий и анализа больших данных,09.03.03,Прикладная информатика,Инженерия данных,очная,1640000,390000,390000,430000,430000,Х
Факультет информационных технологий и анализа больших данных,09.03.04,Программная инженерия,Инженер-разработчик программного обеспечения,очная,1720000,420000,420000,440000,440000,Х
Факультет информационных технологий и анализа больших данных,09.03.04,Программная инженерия,"Разработка и внедрение информационно - аналитических систем",очная,1600000,380000,380000,420000,420000,Х
Факультет информационных технологий и анализа больших данных,10.03.01,Информационная безопасность,"Безопасность автоматизированных систем в кредитно-финансовой сфере",очная,1740000,420000,420000,450000,450000,Х
Факультет информационных технологий и анализа больших данных,38.03.05,Бизнес-информатика,Цифровая трансформация управления бизнесом,очная,1840000,450000,450000,470000,470000,Х
Факультет информационных технологий и анализа больших данных,38.03.05,Бизнес-информатика,"Цифровые технологии в управлении земельными ресурсами и объектами недвижимости",очная,1495106,379027,374670,393155,348254,Х
Факультет налогов, аудита и бизнес-анализа,38.03.01,Экономика,"Бизнес-анализ, налоги и аудит",очная,2040000,490000,490000,530000,530000,Х
Факультет налогов, аудита и бизнес-анализа,38.03.01,Экономика,Бизнес-аудит и право,очная,2100000,510000,510000,540000,540000,Х
Факультет налогов, аудита и бизнес-анализа,38.03.01,Экономика,Бизнес-архитектура и аналитика,очная,2100000,510000,510000,540000,540000,Х
Факультет налогов, аудита и бизнес-анализа,38.03.01,Экономика,"Международный бизнес: налоги и аналитика/ International Business: Taxes and Analytics",очная,2200000,530000,530000,570000,570000,Х
Факультет налогов, аудита и бизнес-анализа,38.03.06,Торговое дело,Электронная коммерция,очная,1720000,410000,410000,450000,450000,Х
Факультет социальных наук и массовых коммуникаций,37.03.01,Психология,Психология виртуальной среды и медиапространства,очная,1540000,370000,370000,400000,400000,Х
Факультет социальных наук и массовых коммуникаций,38.03.03,Управление персоналом,Управление персоналом,очная,1780000,430000,430000,460000,460000,Х
Факультет социальных наук и массовых коммуникаций,39.03.01,Социология,Экономическая социология,очная,1760000,420000,420000,460000,460000,Х
Факультет социальных наук и массовых коммуникаций,41.03.04,Политология,"Современные политические технологии, экспертиза и GR",очная,1840000,440000,440000,480000,480000,Х
Факультет социальных наук и массовых коммуникаций,41.03.04,Политология,Мировая политика/Global politics,очная,1900000,460000,460000,490000,490000,Х
Факультет социальных наук и массовых коммуникаций,42.03.01,Реклама и связи с общественностью,Реклама и связи с общественностью,очная,2260000,540000,540000,590000,590000,Х
Факультет социальных наук и массовых коммуникаций,42.03.01,Реклама и связи с общественностью,"Связи с общественностью в политике и бизнесе /Public Relations in Politics and Business",очная,2300000,560000,560000,590000,590000,Х
Факультет социальных наук и массовых коммуникаций,47.03.01,Философия,Этика бизнеса,очная,1400000,330000,330000,370000,370000,Х
Программы бакалавриата (очная форма обучения с применением ДОТ)
Институт открытого образования,38.03.01,Экономика,Финансы и анализ данных (сетевая),очная с полным применением ДОТ,1520000,380000,380000,380000,380000,Х
Программы бакалавриата (заочная форма обучения с применением ДОТ)
Институт открытого образования,09.03.03,Прикладная информатика,Прикладные информационные системы в экономике и финансах,заочная с полным применением ДОТ,905000,190000,190000,210000,210000,105000
Институт открытого образования,40.03.01,Юриспруденция,Юриспруденция,заочная с полным применением ДОТ,905000,190000,190000,210000,210000,105000
Программы бакалавриата (очно-заочная форма обучения)
Факультет ""Высшая школа управления"",38.03.02,Менеджмент,Управление бизнесом,очно-заочная,1355000,290000,290000,310000,310000,155000
Факультет ""Высшая школа управления"",38.03.04,Государственное и муниципальное управление,Государственное и муниципальное управление,очно-заочная,1355000,290000,290000,310000,310000,155000
Финансовый факультет,38.03.01,Экономика,Экономика и финансы,очно-заочная,1355000,290000,290000,310000,310000,155000
Юридический факультет,40.03.01,Юриспруденция,Юриспруденция,очно-заочная,1355000,290000,290000,310000,310000,155000
Факультет информационных технологий и анализа больших данных,09.03.03,Прикладная информатика,Прикладные информационные системы в экономике и финансах,очно-заочная,1050000,225000,225000,240000,240000,120000
Факультет налогов, аудита и бизнес-анализа,38.03.01,Экономика,Аналитика и аудит,очно-заочная,1355000,290000,290000,310000,310000,155000
Программы бакалавриата (очно-заочная форма обучения с полным применением ДОТ)
Институт открытого образования,38.03.01,Экономика,Экономика и финансы,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,38.03.01,Экономика,Финансы и искусственный интеллект,очно-заочная с полным применением ДОТ,990000,220000,220000,220000,220000,110000
Институт открытого образования,38.03.01,Экономика,Бюджетный учет и контроль в цифровой экономике,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,38.03.01,Экономика,"Бизнес-анализ, налоги и аудит",очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,38.03.01,Экономика,Бизнес и корпоративные финансы,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,38.03.02,Менеджмент,Финансовый менеджмент,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,38.03.02,Менеджмент,Маркетинг,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,38.03.04,Государственное и муниципальное управление,Государственное и муниципальное управление,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,09.03.04.,Программная инженерия,Инженер-разработчик программного обеспечения,очно-заочная с полным применением ДОТ,990000,220000,220000,220000,220000,110000
Институт открытого образования,41.03.04,Политология,Политология,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
Институт открытого образования,42.03.01,Реклама и связи с общественностью,Реклама и связи с общественностью,очно-заочная с полным применением ДОТ,1040000,220000,220000,240000,240000,120000
