study_form,location,code,direction_name,program_name,budget_places,contract_places
Бакалавриат (заочная с ДОТ),г. Москва,09.03.03,Прикладная информатика,Прикладные информационные системы в экономике и финансах,38,70
Бакалавриат (очная с ДОТ),г. Москва,38.03.01,Экономика,Финансы и анализ данных,0,30
Бакалавриат (очная),г. Москва,01.03.02,Прикладная математика и информатика,Прикладное машинное обучение,113,52
Бакалавриат (очная),г. Москва,02.03.01,Математика и компьютерные науки,Цифровая аналитика и математическая оценка рисков,0,25
Бакалавриат (очная),г. Москва,02.03.01,Математика и компьютерные науки,"Математическое и компьютерное моделирование/Mathematical and computational modeling",0,25
Бакалавриат (очная),г. Москва,09.03.03,Прикладная информатика,Прикладные информационные системы в экономике и финансах,79,46
Бакалавриат (очная),г. Москва,09.03.04,Программная инженерия,Инженер-разработчик программного обеспечения,25,50
Бакалавриат (очная),г. Москва,09.03.04,Программная инженерия,Разработка и внедрение информационно-аналитических систем,25,25
Бакалавриат (очная),г. Москва,10.03.01,Информационная безопасность,Безопасность автоматизированных систем в кредитно-финансовой сфере,80,45
Бакалавриат (очная),г. Москва,27.03.05,Инноватика,Управление цифровыми инновациями,21,35
Бакалавриат (очная),г. Москва,37.03.01,Психология,Психология,0,40
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Международные финансы / International Finance",24,60
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Экономика и бизнес,25,80
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Бизнес-анализ, налоги и аудит",25,150
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Корпоративные финансы,55,91
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Международная экономика и торговля (с углубленным изучением экономики Китая и китайского языка)",68,150
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Бизнес-аудит и право",15,100
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Бизнес-архитектура и аналитика",10,100
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Международный бизнес: налоги и аналитика / International Business: Taxes and Analytics",10,50
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Мировая экономика, мировые финансы и международный бизнес (с частичной реализацией на англ. языке)",84,150
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Экономика и бизнес стран Востока,1,40
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Цифровизация финансовых продуктов и услуг,0,50
Бакалавриат (очная),г. Москва,38.03.01,Экономика,"Экономика корпорации, ESG и корпоративное право",10,40
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Экономика и финансы,98,290
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Финансовые инструменты и цифровые технологии анализа,15,60
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Государственные финансовые технологии,25,50
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Международные торгово-экономические отношения,0,50
Бакалавриат (очная),г. Москва,38.03.01,Экономика,Финансовая разведка и управление рисками бизнеса,25,75
Бакалавриат (очная),г. Москва,38.03.02,Менеджмент,Финансовый менеджмент,20,84
Бакалавриат (очная),г. Москва,38.03.02,Менеджмент,Логистика,10,70
Бакалавриат (очная),г. Москва,38.03.02,Менеджмент,Маркетинг,20,100
Бакалавриат (очная),г. Москва,38.03.02,Менеджмент,"Управление бизнесом / Bachelor of Business Administration (BBA)",20,40
Бакалавриат (очная),г. Москва,38.03.02,Менеджмент,Управление бизнесом,30,240
Бакалавриат (очная),г. Москва,38.03.03,Управление персоналом,Управление персоналом,10,71
Бакалавриат (очная),г. Москва,38.03.04,Государственное и муниципальное управление,Государственное и муниципальное управление,6,103
Бакалавриат (очная),г. Москва,38.03.04,Государственное и муниципальное управление,Цифровое государство и экономика,6,50
Бакалавриат (очная),г. Москва,38.03.05,Бизнес-информатика,Цифровая трансформация управления бизнесом,20,146
Бакалавриат (очная),г. Москва,38.03.05,Бизнес-информатика,Цифровые технологии в управлении земельными ресурсами и объектами недвижимости,0,25
Бакалавриат (очная),г. Москва,38.03.06,Торговое дело,Электронная коммерция,10,71
Бакалавриат (очная),г. Москва,39.03.01,Социология,Экономическая социология,100,75
Бакалавриат (очная),г. Москва,40.03.01,Юриспруденция,Юриспруденция,151,87
Бакалавриат (очная),г. Москва,41.03.04,Политология,"Мировая политика / Global politics",50,10
Бакалавриат (очная),г. Москва,41.03.04,Политология,"Современные политические технологии, экспертиза и GR",47,50
Бакалавриат (очная),г. Москва,42.03.01,Реклама и связи с общественностью,Реклама и связи с общественностью,44,136
Бакалавриат (очная),г. Москва,42.03.01,Реклама и связи с общественностью,"Связи с общественностью в политике и бизнесе/Public Relations in Politics and Business",25,50
Бакалавриат (очная),г. Москва,43.03.02,Туризм,Туристический бизнес и экономика впечатлений,35,20
Бакалавриат (очная),г. Москва,43.03.03,Гостиничное дело,Гостиничный бизнес,40,30
Бакалавриат (очная),г. Москва,45.03.02,Лингвистика,"Экономическая лингвистика и межкультурная коммуникация (с частичной реализацией на английском языке)",0,65
Бакалавриат (очная),г. Москва,47.03.01,Философия,Этика бизнеса,10,20
Бакалавриат (очно-заочная с ДОТ),г. Москва,09.03.04,Программная инженерия,Инженер-разработчик программного обеспечения,0,30
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.01,Экономика,"Экономика и финансы (с применением дистанционных образовательных технологий)",14,82
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.01,Экономика,Финансы и искусственный интеллект,0,40
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.01,Экономика,"Бизнес-анализ, налоги и аудит",10,50
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.01,Экономика,Бизнес и корпоративные финансы,14,65
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.02,Менеджмент,Финансовый менеджмент,10,50
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.02,Менеджмент,Маркетинг,10,50
Бакалавриат (очно-заочная с ДОТ),г. Москва,38.03.04,Государственное и муниципальное управление,"Государственное и муниципальное управление (с применением дистанционных образовательных технологий)",20,33
Бакалавриат (очно-заочная с ДОТ),г. Москва,41.03.04,Политология,Политология,25,5
Бакалавриат (очно-заочная с ДОТ),г. Москва,42.03.01,Реклама и связи с общественностью,Реклама и связи с общественностью,23,57
Бакалавриат (очно-заочная),г. Москва,09.03.03,Прикладная информатика,Прикладные информационные системы в экономике и финансах,25,5
Бакалавриат (очно-заочная),г. Москва,38.03.01,Экономика,Экономика и финансы,30,60
Бакалавриат (очно-заочная),г. Москва,38.03.01,Экономика,Аналитика и аудит,20,30
Бакалавриат (очно-заочная),г. Москва,38.03.02,Менеджмент,Управление бизнесом,20,58
Бакалавриат (очно-заочная),г. Москва,38.03.04,Государственное и муниципальное управление,Государственное и муниципальное управление,20,30
Бакалавриат (очно-заочная),г. Москва,40.03.01,Юриспруденция,Юриспруденция,129,25
Специалитет (очная),г. Москва,38.05.02,Таможенное дело,"Внешняя торговля, таможенное и валютное регулирование (с углублённым изучением иностранных языков)",11,77
Специалитет (очная),г. Москва,40.05.01,Правовое обеспечение национальной безопасности,Правовое обеспечение национальной безопасности,0,25